HINT	ANSWER	ISNAME	TYPEIN
Вепсский язык	Прибалтийско-финская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(ПРИБАЛТИЙСКОФИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Ижорский язык	Прибалтийско-финская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(ПРИБАЛТИЙСКОФИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Водский язык	Прибалтийско-финская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(ПРИБАЛТИЙСКОФИНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Мокшанский язык	Мордовская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(МОРДОВСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Эрзянский язык	Мордовская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(МОРДОВСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Луговомарийский (лугововосточный марийский) язык	Марийская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(МАРИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Горномарийский язык	Марийская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(МАРИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Удмуртский язык	Пермская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(ПЕРМСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Коми-зырянский язык	Пермская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(ПЕРМСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Коми-пермяцкий язык	Пермская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(ПЕРМСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Венгерский язык	Угорская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(УГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Кильдинский саамский язык	Саамская группа<br>Финно-угорская ветвь<br>Уральская семья	N	r:^(СААМСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ФИННОУГОРСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Тундровый ненецкий язык	Самодийская ветвь<br>Уральская семья	N	r:^(САМОДИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Лесной ненецкий язык	Самодийская ветвь<br>Уральская семья	N	r:^(САМОДИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Энецкий язык	Самодийская ветвь<br>Уральская семья	N	r:^(САМОДИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Нганасанский язык	Самодийская ветвь<br>Уральская семья	N	r:^(САМОДИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])УРАЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Чувашский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Якутский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Тувинский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Хакасский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Башкирский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Кумыкский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Татарский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Ногайский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Карачаево-балкарский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Караимский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Крымско-татарский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Каракалпакский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Азербайджанский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Гагаузский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Казахский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Турецкий язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Киргизский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Узбекский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Туркменский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Уйгурский язык	Тюркская семья	N	r:^(ТЮРКСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Монгольский язык	Монгольская семья	N	r:^(МОНГОЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Бурятский язык	Монгольская семья	N	r:^(МОНГОЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Калмыцкий язык	Монгольская семья	N	r:^(МОНГОЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Эвенкийский язык	Тунгусо-маньчжурская семья	N	r:^(ТУНГУСОМАНЬЧЖУРСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Эвенский язык	Тунгусо-маньчжурская семья	N	r:^(ТУНГУСОМАНЬЧЖУРСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Нанайский язык	Тунгусо-маньчжурская семья	N	r:^(ТУНГУСОМАНЬЧЖУРСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Негидальский язык	Тунгусо-маньчжурская семья	N	r:^(ТУНГУСОМАНЬЧЖУРСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Удэгейский язык	Тунгусо-маньчжурская семья	N	r:^(ТУНГУСОМАНЬЧЖУРСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Маньчжурский и сибинский языки	Тунгусо-маньчжурская семья	N	r:^(ТУНГУСОМАНЬЧЖУРСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Японский язык	Японо-рюкюская семья	N	r:^(ЯПОНОРЮКЮСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Корейский язык	Корейская семья	N	r:^(КОРЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Кетский язык	Енисейская семья	N	r:^(ЕНИСЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Тундренный юкагирский (северноюкагирский) язык	Юкагирская семья	N	r:^(ЮКАГИРСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Колымский юкагирский (южноюкагирский) язык	Юкагирская семья	N	r:^(ЮКАГИРСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Чукотский язык	Чукотско-корякская ветвь<br>Чукотско-камчатская семья	N	r:^(ЧУКОТСКОКОРЯКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ЧУКОТСКОКАМЧАТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Корякский язык	Чукотско-корякская ветвь<br>Чукотско-камчатская семья	N	r:^(ЧУКОТСКОКОРЯКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ЧУКОТСКОКАМЧАТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Алюторский язык	Чукотско-корякская ветвь<br>Чукотско-камчатская семья	N	r:^(ЧУКОТСКОКОРЯКСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ЧУКОТСКОКАМЧАТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Ительменский язык	Чукотско-камчатская семья	N	r:^(ЧУКОТСКОКАМЧАТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Кабардинский язык	Абхазо-адыгская семья	N	r:^(АБХАЗОАДЫГСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Адыгейский язык	Абхазо-адыгская семья	N	r:^(АБХАЗОАДЫГСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Абхазский язык	Абхазо-адыгская семья	N	r:^(АБХАЗОАДЫГСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Абазинский язык	Абхазо-адыгская семья	N	r:^(АБХАЗОАДЫГСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Убыхский язык (†)	Абхазо-адыгская семья	N	r:^(АБХАЗОАДЫГСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Грузинский язык	Картвельская семья	N	r:^(КАРТВЕЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Сванский язык	Картвельская семья	N	r:^(КАРТВЕЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Лазский язык	Картвельская семья	N	r:^(КАРТВЕЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Мегрельский язык	Картвельская семья	N	r:^(КАРТВЕЛЬСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Брагуи (брауи)	Дравидийская семья	N	r:^(ДРАВИДИЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Телугу	Дравидийская семья	N	r:^(ДРАВИДИЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Тамильский язык	Дравидийская семья	N	r:^(ДРАВИДИЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Каннада	Дравидийская семья	N	r:^(ДРАВИДИЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Малаялам	Дравидийская семья	N	r:^(ДРАВИДИЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Коптский язык (†)	Египетская семья<br>Афразийская макросемья	N	r:^(ЕГИПЕТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ))АФРАЗИЙСК(АЯ|ОЙ)(МАКРОСЕМЬ[ЯИ])?)$
Древнееврейский язык (библейский иврит) (†)	Семитская семья<br>Афразийская макросемья	N	r:^(СЕМИТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ))АФРАЗИЙСК(АЯ|ОЙ)(МАКРОСЕМЬ[ЯИ])?)$
Иврит	Семитская семья<br>Афразийская макросемья	N	r:^(СЕМИТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ))АФРАЗИЙСК(АЯ|ОЙ)(МАКРОСЕМЬ[ЯИ])?)$
Арабский язык	Семитская семья<br>Афразийская макросемья	N	r:^(СЕМИТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ))АФРАЗИЙСК(АЯ|ОЙ)(МАКРОСЕМЬ[ЯИ])?)$
Геэз (†)	Семитская семья<br>Афразийская макросемья	N	r:^(СЕМИТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ))АФРАЗИЙСК(АЯ|ОЙ)(МАКРОСЕМЬ[ЯИ])?)$
Амхарский язык	Семитская семья<br>Афразийская макросемья	N	r:^(СЕМИТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ))АФРАЗИЙСК(АЯ|ОЙ)(МАКРОСЕМЬ[ЯИ])?)$
Тигринья	Семитская семья<br>Афразийская макросемья	N	r:^(СЕМИТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ))АФРАЗИЙСК(АЯ|ОЙ)(МАКРОСЕМЬ[ЯИ])?)$
Ассирийский новоарамейский язык	Семитская семья<br>Афразийская макросемья	N	r:^(СЕМИТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ))АФРАЗИЙСК(АЯ|ОЙ)(МАКРОСЕМЬ[ЯИ])?)$
Сирийский язык (†)	Семитская семья<br>Афразийская макросемья	N	r:^(СЕМИТСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ))АФРАЗИЙСК(АЯ|ОЙ)(МАКРОСЕМЬ[ЯИ])?)$
Восточнославянские языки	Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
